City,month,NO2
Tallinn (Estonia),2019-10-01,11.8
Athens (Greece),2019-10-01,36.2
Madrid (Spain),2019-10-01,40.3
EU27 (aggregate),2019-10-01,30.0
Helsinki (Finland),2019-10-01,18.5
Paris (France),2019-10-01,30.7
Zagreb (Croatia),2019-10-01,33.7
Budapest (Hungary),2019-10-01,37.0
Dublin (Ireland),2019-10-01,26.8
Reykjavik (Iceland),2019-10-01,8.3
Rome (Italy),2019-10-01,44.3
Vilnius (Lithuania),2019-10-01,25.2
Luxembourg (Luxembourg),2019-10-01,25.0
Riga (Latvia),2019-10-01,26.0
Valletta (Malta),2019-10-01,34.0
Amsterdam (Netherlands),2019-10-01,27.8
Oslo (Norway),2019-10-01,31.1
Warsaw (Poland),2019-10-01,32.8
Lisbon (Portugal),2019-10-01,27.0
Bucharest (Romania),2019-10-01,57.2
Stockholm (Sweden),2019-10-01,21.0
Ljubljana (Slovenia),2019-10-01,23.2
Bratislava (Slovakia),2019-10-01,24.5
Vienna (Austria),2019-11-01,23.0
Brussels (Belgium),2019-11-01,32.7
Sofia (Bulgaria),2019-11-01,32.5
Bern (Switzerland),2019-11-01,27.3
Nicosia (Cyprus),2019-11-01,45.1
Prague (Czech Republic),2019-11-01,28.4
Berlin (Germany),2019-11-01,30.3
Copenhagen (Denmark),2019-11-01,22.5
Tallinn (Estonia),2019-11-01,12.3
Athens (Greece),2019-11-01,31.6
Madrid (Spain),2019-11-01,26.0
EU27 (aggregate),2019-11-01,28.9
Helsinki (Finland),2019-11-01,18.3
Paris (France),2019-11-01,36.1
Zagreb (Croatia),2019-11-01,33.5
Budapest (Hungary),2019-11-01,31.5
Dublin (Ireland),2019-11-01,33.9
Reykjavik (Iceland),2019-11-01,20.7
Rome (Italy),2019-11-01,40.3
Vilnius (Lithuania),2019-11-01,14.7
Luxembourg (Luxembourg),2019-11-01,31.3
Riga (Latvia),2019-11-01,24.5
Valletta (Malta),2019-11-01,29.7
Amsterdam (Netherlands),2019-11-01,35.2
Oslo (Norway),2019-11-01,26.2
Warsaw (Poland),2019-11-01,22.5
Lisbon (Portugal),2019-11-01,25.0
Bucharest (Romania),2019-11-01,49.2
Stockholm (Sweden),2019-11-01,22.0
Ljubljana (Slovenia),2019-11-01,27.1
Bratislava (Slovakia),2019-11-01,22.7
Vienna (Austria),2019-12-01,28.3
Brussels (Belgium),2019-12-01,30.6
Sofia (Bulgaria),2019-12-01,46.1
Bern (Switzerland),2019-12-01,28.1
Nicosia (Cyprus),2019-12-01,36.6
Prague (Czech Republic),2019-12-01,28.4
Berlin (Germany),2019-12-01,33.5
Copenhagen (Denmark),2019-12-01,21.0
Tallinn (Estonia),2019-12-01,10.6
Athens (Greece),2019-12-01,31.6
Madrid (Spain),2019-12-01,39.4
EU27 (aggregate),2019-12-01,30.6
Helsinki (Finland),2019-12-01,18.0
Paris (France),2019-12-01,37.6
Zagreb (Croatia),2019-12-01,39.4
Budapest (Hungary),2019-12-01,31.4
Dublin (Ireland),2019-12-01,29.8
Reykjavik (Iceland),2019-12-01,21.5
Rome (Italy),2019-12-01,45.6
Vilnius (Lithuania),2019-12-01,18.4
Luxembourg (Luxembourg),2019-12-01,29.4
Riga (Latvia),2019-12-01,27.6
Valletta (Malta),2019-12-01,21.3
Amsterdam (Netherlands),2019-12-01,33.1
Oslo (Norway),2019-12-01,36.2
Warsaw (Poland),2019-12-01,27.5
Lisbon (Portugal),2019-12-01,29.4
Bucharest (Romania),2019-12-01,47.0
Stockholm (Sweden),2019-12-01,21.5
Ljubljana (Slovenia),2019-12-01,36.9
Bratislava (Slovakia),2019-12-01,25.0
Vienna (Austria),2020-01-01,30.7
Brussels (Belgium),2020-01-01,30.4
Sofia (Bulgaria),2020-01-01,40.4
Bern (Switzerland),2020-01-01,35.7
Nicosia (Cyprus),2020-01-01,33.5
Prague (Czech Republic),2020-01-01,30.2
Berlin (Germany),2020-01-01,33.2
Copenhagen (Denmark),2020-01-01,19.4
Tallinn (Estonia),2020-01-01,10.3
Athens (Greece),2020-01-01,35.0
Madrid (Spain),2020-01-01,45.6
EU27 (aggregate),2020-01-01,32.1
Helsinki (Finland),2020-01-01,16.7
Paris (France),2020-01-01,37.4
Zagreb (Croatia),2020-01-01,48.8
Budapest (Hungary),2020-01-01,37.2
Dublin (Ireland),2020-01-01,25.0
Reykjavik (Iceland),2020-01-01,14.3
Rome (Italy),2020-01-01,57.8
Vilnius (Lithuania),2020-01-01,21.1
Luxembourg (Luxembourg),2020-01-01,28.7
Riga (Latvia),2020-01-01,22.8
Valletta (Malta),2020-01-01,35.7
Amsterdam (Netherlands),2020-01-01,32.1
Oslo (Norway),2020-01-01,33.9
Warsaw (Poland),2020-01-01,27.9
Lisbon (Portugal),2020-01-01,31.8
Bucharest (Romania),2020-01-01,46.1
Stockholm (Sweden),2020-01-01,17.7
Ljubljana (Slovenia),2020-01-01,41.9
Bratislava (Slovakia),2020-01-01,29.2
Vienna (Austria),2020-02-01,21.0
Brussels (Belgium),2020-02-01,23.6
Sofia (Bulgaria),2020-02-01,33.5
Bern (Switzerland),2020-02-01,24.5
Nicosia (Cyprus),2020-02-01,30.5
Prague (Czech Republic),2020-02-01,20.3
Berlin (Germany),2020-02-01,25.8
Copenhagen (Denmark),2020-02-01,15.4
Tallinn (Estonia),2020-02-01,10.4
Athens (Greece),2020-02-01,35.2
Madrid (Spain),2020-02-01,43.9
EU27 (aggregate),2020-02-01,27.5
Helsinki (Finland),2020-02-01,16.4
Paris (France),2020-02-01,28.0
Zagreb (Croatia),2020-02-01,39.4
Budapest (Hungary),2020-02-01,28.8
Dublin (Ireland),2020-02-01,20.1
Reykjavik (Iceland),2020-02-01,14.2
Rome (Italy),2020-02-01,45.3
Vilnius (Lithuania),2020-02-01,21.4
Luxembourg (Luxembourg),2020-02-01,26.8
Riga (Latvia),2020-02-01,22.5
Valletta (Malta),2020-02-01,37.9
Amsterdam (Netherlands),2020-02-01,21.8
Oslo (Norway),2020-02-01,30.9
Warsaw (Poland),2020-02-01,26.3
Lisbon (Portugal),2020-02-01,36.3
Bucharest (Romania),2020-02-01,42.5
Stockholm (Sweden),2020-02-01,20.9
Ljubljana (Slovenia),2020-02-01,27.1
Bratislava (Slovakia),2020-02-01,20.7
Vienna (Austria),2020-03-01,20.7
Brussels (Belgium),2020-03-01,23.7
Sofia (Bulgaria),2020-03-01,24.6
Bern (Switzerland),2020-03-01,19.3
Nicosia (Cyprus),2020-03-01,18.9
Prague (Czech Republic),2020-03-01,24.2
Berlin (Germany),2020-03-01,26.5
Copenhagen (Denmark),2020-03-01,14.9
Tallinn (Estonia),2020-03-01,11.2
Athens (Greece),2020-03-01,29.4
Madrid (Spain),2020-03-01,22.0
EU27 (aggregate),2020-03-01,22.6
Helsinki (Finland),2020-03-01,16.0
Paris (France),2020-03-01,26.8
Zagreb (Croatia),2020-03-01,30.0
Budapest (Hungary),2020-03-01,31.8
Dublin (Ireland),2020-03-01,21.5
Reykjavik (Iceland),2020-03-01,8.3
Rome (Italy),2020-03-01,25.3
Vilnius (Lithuania),2020-03-01,19.7
Luxembourg (Luxembourg),2020-03-01,21.0
Riga (Latvia),2020-03-01,22.6
Valletta (Malta),2020-03-01,23.2
Amsterdam (Netherlands),2020-03-01,20.5
Oslo (Norway),2020-03-01,21.3
Warsaw (Poland),2020-03-01,28.8
Lisbon (Portugal),2020-03-01,17.4
Bucharest (Romania),2020-03-01,35.4
Stockholm (Sweden),2020-03-01,17.9
Ljubljana (Slovenia),2020-03-01,15.4
Bratislava (Slovakia),2020-03-01,20.8
Vienna (Austria),2020-04-01,19.1
Brussels (Belgium),2020-04-01,21.1
Sofia (Bulgaria),2020-04-01,19.9
Bern (Switzerland),2020-04-01,15.7
Nicosia (Cyprus),2020-04-01,8.8
Prague (Czech Republic),2020-04-01,23.8
Berlin (Germany),2020-04-01,23.2
Copenhagen (Denmark),2020-04-01,13.3
Tallinn (Estonia),2020-04-01,7.8
Athens (Greece),2020-04-01,20.4
Madrid (Spain),2020-04-01,11.7
EU27 (aggregate),2020-04-01,17.4
Helsinki (Finland),2020-04-01,10.4
Paris (France),2020-04-01,21.1
Zagreb (Croatia),2020-04-01,21.8
Budapest (Hungary),2020-04-01,26.4
Dublin (Ireland),2020-04-01,18.2
Reykjavik (Iceland),2020-04-01,4.7
Rome (Italy),2020-04-01,17.9
Vilnius (Lithuania),2020-04-01,14.0
Luxembourg (Luxembourg),2020-04-01,18.1
Riga (Latvia),2020-04-01,9.0
Valletta (Malta),2020-04-01,17.5
Amsterdam (Netherlands),2020-04-01,19.8
Oslo (Norway),2020-04-01,19.6
Warsaw (Poland),2020-04-01,26.5
Lisbon (Portugal),2020-04-01,12.0
Bucharest (Romania),2020-04-01,22.6
Stockholm (Sweden),2020-04-01,14.5
Ljubljana (Slovenia),2020-04-01,12.9
Bratislava (Slovakia),2020-04-01,19.7
Vienna (Austria),2020-05-01,15.1
Brussels (Belgium),2020-05-01,19.5
Sofia (Bulgaria),2020-05-01,15.1
Bern (Switzerland),2020-05-01,13.0
Nicosia (Cyprus),2020-05-01,13.4
Prague (Czech Republic),2020-05-01,18.5
Berlin (Germany),2020-05-01,20.4
Copenhagen (Denmark),2020-05-01,12.0
Tallinn (Estonia),2020-05-01,7.9
Athens (Greece),2020-05-01,30.9
Madrid (Spain),2020-05-01,12.7
EU27 (aggregate),2020-05-01,16.9
Helsinki (Finland),2020-05-01,10.5
Paris (France),2020-05-01,21.4
Zagreb (Croatia),2020-05-01,21.2
Budapest (Hungary),2020-05-01,21.5
Dublin (Ireland),2020-05-01,14.1
Reykjavik (Iceland),2020-05-01,4.7
Rome (Italy),2020-05-01,19.8
Vilnius (Lithuania),2020-05-01,15.1
Luxembourg (Luxembourg),2020-05-01,17.0
Riga (Latvia),2020-05-01,9.8
Valletta (Malta),2020-05-01,16.2
Amsterdam (Netherlands),2020-05-01,16.8
Oslo (Norway),2020-05-01,15.6
Warsaw (Poland),2020-05-01,23.6
Lisbon (Portugal),2020-05-01,13.6
Bucharest (Romania),2020-05-01,28.0
Stockholm (Sweden),2020-05-01,15.3
Ljubljana (Slovenia),2020-05-01,12.1
Bratislava (Slovakia),2020-05-01,14.9
Vienna (Austria),2020-06-01,14.0
Brussels (Belgium),2020-06-01,18.9
Sofia (Bulgaria),2020-06-01,16.9
Bern (Switzerland),2020-06-01,12.6
Nicosia (Cyprus),2020-06-01,14.8
Prague (Czech Republic),2020-06-01,18.0
Berlin (Germany),2020-06-01,19.4
Copenhagen (Denmark),2020-06-01,14.4
Tallinn (Estonia),2020-06-01,11.7
Athens (Greece),2020-06-01,27.6
Madrid (Spain),2020-06-01,15.4
EU27 (aggregate),2020-06-01,17.6
Helsinki (Finland),2020-06-01,13.7
Paris (France),2020-06-01,23.5
Zagreb (Croatia),2020-06-01,21.0
Budapest (Hungary),2020-06-01,20.7
Dublin (Ireland),2020-06-01,14.7
Reykjavik (Iceland),2020-06-01,5.4
Rome (Italy),2020-06-01,23.3
Vilnius (Lithuania),2020-06-01,13.1
Luxembourg (Luxembourg),2020-06-01,18.1
Riga (Latvia),2020-06-01,15.3
Valletta (Malta),2020-06-01,17.6
Amsterdam (Netherlands),2020-06-01,18.6
Oslo (Norway),2020-06-01,16.4
Warsaw (Poland),2020-06-01,21.5
Lisbon (Portugal),2020-06-01,11.0
Bucharest (Romania),2020-06-01,29.7
Stockholm (Sweden),2020-06-01,16.4
Ljubljana (Slovenia),2020-06-01,11.9
Bratislava (Slovakia),2020-06-01,15.2
Vienna (Austria),2020-07-01,16.0
Brussels (Belgium),2020-07-01,15.9
Sofia (Bulgaria),2020-07-01,17.4
Bern (Switzerland),2020-07-01,12.2
Nicosia (Cyprus),2020-07-01,16.9
Prague (Czech Republic),2020-07-01,15.2
Berlin (Germany),2020-07-01,21.8
Copenhagen (Denmark),2020-07-01,10.2
Tallinn (Estonia),2020-07-01,7.1
Athens (Greece),2020-07-01,26.9
Madrid (Spain),2020-07-01,19.4
EU27 (aggregate),2020-07-01,17.9
Helsinki (Finland),2020-07-01,11.0
Paris (France),2020-07-01,19.8
Zagreb (Croatia),2020-07-01,21.3
Budapest (Hungary),2020-07-01,25.4
Dublin (Ireland),2020-07-01,11.4
Reykjavik (Iceland),2020-07-01,4.5
Rome (Italy),2020-07-01,25.8
Vilnius (Lithuania),2020-07-01,15.6
Luxembourg (Luxembourg),2020-07-01,18.1
Riga (Latvia),2020-07-01,14.7
Valletta (Malta),2020-07-01,18.0
Amsterdam (Netherlands),2020-07-01,16.7
Oslo (Norway),2020-07-01,13.0
Warsaw (Poland),2020-07-01,24.5
Lisbon (Portugal),2020-07-01,17.6
Bucharest (Romania),2020-07-01,36.0
Stockholm (Sweden),2020-07-01,11.1
Ljubljana (Slovenia),2020-07-01,11.9
Bratislava (Slovakia),2020-07-01,17.3
Vienna (Austria),2020-08-01,16.9
Brussels (Belgium),2020-08-01,19.6
Sofia (Bulgaria),2020-08-01,20.6
Bern (Switzerland),2020-08-01,13.6
Nicosia (Cyprus),2020-08-01,15.0
Prague (Czech Republic),2020-08-01,19.9
Berlin (Germany),2020-08-01,25.5
Copenhagen (Denmark),2020-08-01,19.1
Tallinn (Estonia),2020-08-01,8.6
Athens (Greece),2020-08-01,26.0
Madrid (Spain),2020-08-01,21.5
EU27 (aggregate),2020-08-01,19.5
Helsinki (Finland),2020-08-01,14.1
Paris (France),2020-08-01,24.6
Zagreb (Croatia),2020-08-01,20.5
Budapest (Hungary),2020-08-01,24.0
Dublin (Ireland),2020-08-01,13.8
Reykjavik (Iceland),2020-08-01,5.1
Rome (Italy),2020-08-01,21.6
Vilnius (Lithuania),2020-08-01,17.2
Luxembourg (Luxembourg),2020-08-01,18.0
Riga (Latvia),2020-08-01,23.2
Valletta (Malta),2020-08-01,16.0
Amsterdam (Netherlands),2020-08-01,20.6
Oslo (Norway),2020-08-01,17.7
Warsaw (Poland),2020-08-01,25.0
Lisbon (Portugal),2020-08-01,11.5
Bucharest (Romania),2020-08-01,37.1
Stockholm (Sweden),2020-08-01,15.6
Ljubljana (Slovenia),2020-08-01,12.8
Bratislava (Slovakia),2020-08-01,18.7
Vienna (Austria),2020-09-01,20.8
Brussels (Belgium),2020-09-01,27.1
Sofia (Bulgaria),2020-09-01,24.5
Bern (Switzerland),2020-09-01,16.8
Nicosia (Cyprus),2020-09-01,22.8
Prague (Czech Republic),2020-09-01,25.0
Berlin (Germany),2020-09-01,31.6
Copenhagen (Denmark),2020-09-01,18.5
Tallinn (Estonia),2020-09-01,8.2
Athens (Greece),2020-09-01,25.3
Madrid (Spain),2020-09-01,27.1
EU27 (aggregate),2020-09-01,23.8
Helsinki (Finland),2020-09-01,13.9
Paris (France),2020-09-01,34.8
Zagreb (Croatia),2020-09-01,28.3
Budapest (Hungary),2020-09-01,28.4
Dublin (Ireland),2020-09-01,17.4
Reykjavik (Iceland),2020-09-01,7.6
Rome (Italy),2020-09-01,32.2
Vilnius (Lithuania),2020-09-01,18.3
Luxembourg (Luxembourg),2020-09-01,28.1
Riga (Latvia),2020-09-01,16.8
Valletta (Malta),2020-09-01,17.4
Amsterdam (Netherlands),2020-09-01,26.1
Oslo (Norway),2020-09-01,18.4
Warsaw (Poland),2020-09-01,29.0
Lisbon (Portugal),2020-09-01,23.1
Bucharest (Romania),2020-09-01,43.0
Stockholm (Sweden),2020-09-01,16.0
Ljubljana (Slovenia),2020-09-01,18.0
Bratislava (Slovakia),2020-09-01,21.3
Vienna (Austria),2020-10-01,19.8
Brussels (Belgium),2020-10-01,20.1
Sofia (Bulgaria),2020-10-01,31.4
Bern (Switzerland),2020-10-01,19.3
Nicosia (Cyprus),2020-10-01,25.3
Prague (Czech Republic),2020-10-01,21.3
Berlin (Germany),2020-10-01,25.0
Copenhagen (Denmark),2020-10-01,17.1
Tallinn (Estonia),2020-10-01,11.5
Athens (Greece),2020-10-01,31.5
Madrid (Spain),2020-10-01,28.6
EU27 (aggregate),2020-10-01,23.6
Helsinki (Finland),2020-10-01,14.7
Paris (France),2020-10-01,26.1
Zagreb (Croatia),2020-10-01,30.2
Budapest (Hungary),2020-10-01,28.9
Dublin (Ireland),2020-10-01,19.1
Reykjavik (Iceland),2020-10-01,11.1
Rome (Italy),2020-10-01,34.1
Vilnius (Lithuania),2020-10-01,16.8
Luxembourg (Luxembourg),2020-10-01,22.6
Riga (Latvia),2020-10-01,19.9
Valletta (Malta),2020-10-01,28.3
Amsterdam (Netherlands),2020-10-01,22.7
Oslo (Norway),2020-10-01,24.8
Warsaw (Poland),2020-10-01,23.9
Lisbon (Portugal),2020-10-01,23.6
Bucharest (Romania),2020-10-01,39.8
Stockholm (Sweden),2020-10-01,17.0
Ljubljana (Slovenia),2020-10-01,20.6
Bratislava (Slovakia),2020-10-01,17.6
Vienna (Austria),2020-11-01,23.6
Brussels (Belgium),2020-11-01,27.4
Sofia (Bulgaria),2020-11-01,40.3
Bern (Switzerland),2020-11-01,23.6
Nicosia (Cyprus),2020-11-01,38.6
Prague (Czech Republic),2020-11-01,24.9
Berlin (Germany),2020-11-01,26.9
Copenhagen (Denmark),2020-11-01,17.1
Tallinn (Estonia),2020-11-01,10.0
Athens (Greece),2020-11-01,23.2
Madrid (Spain),2020-11-01,39.5
EU27 (aggregate),2020-11-01,26.4
Helsinki (Finland),2020-11-01,14.9
Paris (France),2020-11-01,34.0
Budapest (Hungary),2020-11-01,31.0
Dublin (Ireland),2020-11-01,22.1
Reykjavik (Iceland),2020-11-01,13.3
Rome (Italy),2020-11-01,36.2
Vilnius (Lithuania),2020-11-01,17.8
Luxembourg (Luxembourg),2020-11-01,28.7
Riga (Latvia),2020-11-01,20.6
Valletta (Malta),2020-11-01,36.4
Amsterdam (Netherlands),2020-11-01,29.4
Oslo (Norway),2020-11-01,26.7
Warsaw (Poland),2020-11-01,22.5
Lisbon (Portugal),2020-11-01,27.3
Bucharest (Romania),2020-11-01,37.3
Stockholm (Sweden),2020-11-01,15.0
Ljubljana (Slovenia),2020-11-01,23.6
Bratislava (Slovakia),2020-11-01,17.4
Vienna (Austria),2020-12-01,20.8
Brussels (Belgium),2020-12-01,25.2
Sofia (Bulgaria),2020-12-01,32.7
Bern (Switzerland),2020-12-01,26.3
Nicosia (Cyprus),2020-12-01,39.2
Prague (Czech Republic),2020-12-01,23.2
Berlin (Germany),2020-12-01,25.1
Copenhagen (Denmark),2020-12-01,18.1
Tallinn (Estonia),2020-12-01,11.7
Athens (Greece),2020-12-01,24.6
Madrid (Spain),2020-12-01,28.9
EU27 (aggregate),2020-12-01,24.7
Helsinki (Finland),2020-12-01,12.3
Paris (France),2020-12-01,30.1
Zagreb (Croatia),2020-12-01,27.2
Budapest (Hungary),2020-12-01,27.0
Dublin (Ireland),2020-12-01,23.9
Reykjavik (Iceland),2020-12-01,12.4
Rome (Italy),2020-12-01,40.1
Vilnius (Lithuania),2020-12-01,15.3
Luxembourg (Luxembourg),2020-12-01,24.3
Riga (Latvia),2020-12-01,19.8
Valletta (Malta),2020-12-01,29.3
Amsterdam (Netherlands),2020-12-01,29.0
Oslo (Norway),2020-12-01,22.2
Warsaw (Poland),2020-12-01,19.7
Lisbon (Portugal),2020-12-01,25.1
Bucharest (Romania),2020-12-01,37.4
Stockholm (Sweden),2020-12-01,14.3
Ljubljana (Slovenia),2020-12-01,26.8
Bratislava (Slovakia),2020-12-01,16.3
Vienna (Austria),2021-01-01,23.4
Brussels (Belgium),2021-01-01,29.0
Sofia (Bulgaria),2021-01-01,31.4
Bern (Switzerland),2021-01-01,27.5
Nicosia (Cyprus),2021-01-01,31.6
Prague (Czech Republic),2021-01-01,25.8
Berlin (Germany),2021-01-01,24.3
Copenhagen (Denmark),2021-01-01,16.9
Tallinn (Estonia),2021-01-01,16.0
Athens (Greece),2021-01-01,28.0
Madrid (Spain),2021-01-01,42.7
EU27 (aggregate),2021-01-01,27.6
Helsinki (Finland),2021-01-01,18.8
Paris (France),2021-01-01,33.4
Zagreb (Croatia),2021-01-01,39.9
Budapest (Hungary),2021-01-01,30.3
Dublin (Ireland),2021-01-01,24.1
Reykjavik (Iceland),2021-01-01,14.1
Rome (Italy),2021-01-01,37.6
Vilnius (Lithuania),2021-01-01,17.6
Luxembourg (Luxembourg),2021-01-01,25.6
Riga (Latvia),2021-01-01,24.1
Valletta (Malta),2021-01-01,27.4
Amsterdam (Netherlands),2021-01-01,25.9
Oslo (Norway),2021-01-01,34.8
Warsaw (Poland),2021-01-01,26.7
Lisbon (Portugal),2021-01-01,24.7
Bucharest (Romania),2021-01-01,46.5
Stockholm (Sweden),2021-01-01,18.8
Ljubljana (Slovenia),2021-01-01,33.6
Bratislava (Slovakia),2021-01-01,20.4
Vienna (Austria),2021-02-01,28.7
Brussels (Belgium),2021-02-01,27.8
Sofia (Bulgaria),2021-02-01,37.0
Bern (Switzerland),2021-02-01,29.6
Nicosia (Cyprus),2021-02-01,28.2
Prague (Czech Republic),2021-02-01,34.4
Berlin (Germany),2021-02-01,32.7
Copenhagen (Denmark),2021-02-01,20.4
Tallinn (Estonia),2021-02-01,18.4
Athens (Greece),2021-02-01,32.7
Madrid (Spain),2021-02-01,29.1
EU27 (aggregate),2021-02-01,29.7
Helsinki (Finland),2021-02-01,24.5
Paris (France),2021-02-01,32.5
Zagreb (Croatia),2021-02-01,44.4
Budapest (Hungary),2021-02-01,33.9
Dublin (Ireland),2021-02-01,16.4
Reykjavik (Iceland),2021-02-01,13.5
Rome (Italy),2021-02-01,41.3
Vilnius (Lithuania),2021-02-01,26.0
Luxembourg (Luxembourg),2021-02-01,26.9
Riga (Latvia),2021-02-01,33.8
Valletta (Malta),2021-02-01,32.0
Amsterdam (Netherlands),2021-02-01,26.9
Oslo (Norway),2021-02-01,36.9
Warsaw (Poland),2021-02-01,34.6
Lisbon (Portugal),2021-02-01,17.5
Bucharest (Romania),2021-02-01,44.0
Stockholm (Sweden),2021-02-01,25.7
Ljubljana (Slovenia),2021-02-01,29.2
Bratislava (Slovakia),2021-02-01,24.2
Vienna (Austria),2021-03-01,25.3
Brussels (Belgium),2021-03-01,30.9
Sofia (Bulgaria),2021-03-01,30.6
Bern (Switzerland),2021-03-01,23.1
Nicosia (Cyprus),2021-03-01,22.7
Prague (Czech Republic),2021-03-01,27.2
Berlin (Germany),2021-03-01,30.6
Copenhagen (Denmark),2021-03-01,17.5
Tallinn (Estonia),2021-03-01,10.8
Athens (Greece),2021-03-01,28.2
Madrid (Spain),2021-03-01,27.8
EU27 (aggregate),2021-03-01,26.3
Helsinki (Finland),2021-03-01,16.9
Paris (France),2021-03-01,35.6
Zagreb (Croatia),2021-03-01,42.1
Budapest (Hungary),2021-03-01,32.2
Dublin (Ireland),2021-03-01,18.8
Reykjavik (Iceland),2021-03-01,11.5
Rome (Italy),2021-03-01,33.5
Vilnius (Lithuania),2021-03-01,20.5
Luxembourg (Luxembourg),2021-03-01,27.3
Riga (Latvia),2021-03-01,21.6
Valletta (Malta),2021-03-01,23.5
Amsterdam (Netherlands),2021-03-01,25.4
Oslo (Norway),2021-03-01,27.8
Warsaw (Poland),2021-03-01,27.9
Lisbon (Portugal),2021-03-01,17.6
Bucharest (Romania),2021-03-01,42.7
Stockholm (Sweden),2021-03-01,18.5
Ljubljana (Slovenia),2021-03-01,32.1
Bratislava (Slovakia),2021-03-01,22.8
Vienna (Austria),2021-04-01,15.8
Brussels (Belgium),2021-04-01,27.3
Sofia (Bulgaria),2021-04-01,24.1
Bern (Switzerland),2021-04-01,17.5
Nicosia (Cyprus),2021-04-01,20.7
Prague (Czech Republic),2021-04-01,18.9
Berlin (Germany),2021-04-01,20.1
Copenhagen (Denmark),2021-04-01,13.8
Tallinn (Estonia),2021-04-01,10.9
Athens (Greece),2021-04-01,31.2
Madrid (Spain),2021-04-01,21.7
EU27 (aggregate),2021-04-01,21.3
Helsinki (Finland),2021-04-01,12.8
Paris (France),2021-04-01,28.3
Zagreb (Croatia),2021-04-01,30.2
Budapest (Hungary),2021-04-01,24.0
Dublin (Ireland),2021-04-01,23.0
Reykjavik (Iceland),2021-04-01,8.8
Rome (Italy),2021-04-01,27.9
Vilnius (Lithuania),2021-04-01,17.2
Luxembourg (Luxembourg),2021-04-01,20.2
Riga (Latvia),2021-04-01,12.9
Valletta (Malta),2021-04-01,23.1
Amsterdam (Netherlands),2021-04-01,18.7
Oslo (Norway),2021-04-01,16.5
Warsaw (Poland),2021-04-01,24.5
Lisbon (Portugal),2021-04-01,18.3
Bucharest (Romania),2021-04-01,35.5
Stockholm (Sweden),2021-04-01,16.3
Ljubljana (Slovenia),2021-04-01,22.0
Bratislava (Slovakia),2021-04-01,15.5
Vienna (Austria),2021-05-01,13.9
Brussels (Belgium),2021-05-01,19.7
Sofia (Bulgaria),2021-05-01,18.5
Bern (Switzerland),2021-05-01,14.5
Nicosia (Cyprus),2021-05-01,15.1
Prague (Czech Republic),2021-05-01,15.2
Berlin (Germany),2021-05-01,19.3
Copenhagen (Denmark),2021-05-01,14.3
Tallinn (Estonia),2021-05-01,11.0
Athens (Greece),2021-05-01,34.0
Madrid (Spain),2021-05-01,17.9
EU27 (aggregate),2021-05-01,18.7
Helsinki (Finland),2021-05-01,13.7
Paris (France),2021-05-01,22.0
Zagreb (Croatia),2021-05-01,28.4
Budapest (Hungary),2021-05-01,21.2
Dublin (Ireland),2021-05-01,17.4
Reykjavik (Iceland),2021-05-01,8.0
Rome (Italy),2021-05-01,22.1
Vilnius (Lithuania),2021-05-01,14.5
Luxembourg (Luxembourg),2021-05-01,15.9
Riga (Latvia),2021-05-01,11.7
Valletta (Malta),2021-05-01,24.9
Amsterdam (Netherlands),2021-05-01,17.1
Oslo (Norway),2021-05-01,15.8
Warsaw (Poland),2021-05-01,19.9
Lisbon (Portugal),2021-05-01,13.5
Bucharest (Romania),2021-05-01,35.5
Stockholm (Sweden),2021-05-01,16.5
Ljubljana (Slovenia),2021-05-01,18.0
Bratislava (Slovakia),2021-05-01,14.4
Vienna (Austria),2021-06-01,16.0
Brussels (Belgium),2021-06-01,22.1
Sofia (Bulgaria),2021-06-01,20.3
Bern (Switzerland),2021-06-01,15.6
Nicosia (Cyprus),2021-06-01,15.4
Prague (Czech Republic),2021-06-01,19.0
Berlin (Germany),2021-06-01,20.7
Copenhagen (Denmark),2021-06-01,17.9
Tallinn (Estonia),2021-06-01,12.4
Athens (Greece),2021-06-01,33.2
Madrid (Spain),2021-06-01,19.2
EU27 (aggregate),2021-06-01,20.4
Helsinki (Finland),2021-06-01,15.7
Paris (France),2021-06-01,25.5
Zagreb (Croatia),2021-06-01,31.9
Budapest (Hungary),2021-06-01,20.6
Dublin (Ireland),2021-06-01,14.8
Reykjavik (Iceland),2021-06-01,7.7
Rome (Italy),2021-06-01,25.0
Vilnius (Lithuania),2021-06-01,15.6
Luxembourg (Luxembourg),2021-06-01,18.8
Riga (Latvia),2021-06-01,11.9
Valletta (Malta),2021-06-01,30.5
Amsterdam (Netherlands),2021-06-01,18.0
Oslo (Norway),2021-06-01,12.8
Warsaw (Poland),2021-06-01,25.8
Lisbon (Portugal),2021-06-01,14.3
Bucharest (Romania),2021-06-01,37.4
Stockholm (Sweden),2021-06-01,15.1
Ljubljana (Slovenia),2021-06-01,19.3
Bratislava (Slovakia),2021-06-01,15.4
Vienna (Austria),2021-07-01,13.3
Brussels (Belgium),2021-07-01,16.3
Sofia (Bulgaria),2021-07-01,18.6
Bern (Switzerland),2021-07-01,15.2
Nicosia (Cyprus),2021-07-01,16.7
Prague (Czech Republic),2021-07-01,16.4
Berlin (Germany),2021-07-01,18.8
Copenhagen (Denmark),2021-07-01,14.9
Tallinn (Estonia),2021-07-01,9.3
Athens (Greece),2021-07-01,27.6
Madrid (Spain),2021-07-01,20.6
