City,month,NO2,year,month_num,dayofyear,season,NO2_prev_month,NO2_roll3
Budapest (Hungary),2019-12-01,31.4,2019,12,335,1,31.5,33.300000000000004
Dublin (Ireland),2019-12-01,29.8,2019,12,335,1,33.9,30.166666666666668
Reykjavik (Iceland),2019-12-01,21.5,2019,12,335,1,20.7,16.833333333333332
Rome (Italy),2019-12-01,45.6,2019,12,335,1,40.3,43.4
Vilnius (Lithuania),2019-12-01,18.4,2019,12,335,1,14.7,19.433333333333334
Luxembourg (Luxembourg),2019-12-01,29.4,2019,12,335,1,31.3,28.566666666666666
Riga (Latvia),2019-12-01,27.6,2019,12,335,1,24.5,26.03333333333333
Valletta (Malta),2019-12-01,21.3,2019,12,335,1,29.7,28.333333333333332
Amsterdam (Netherlands),2019-12-01,33.1,2019,12,335,1,35.2,32.03333333333334
Oslo (Norway),2019-12-01,36.2,2019,12,335,1,26.2,31.166666666666668
Warsaw (Poland),2019-12-01,27.5,2019,12,335,1,22.5,27.599999999999994
Lisbon (Portugal),2019-12-01,29.4,2019,12,335,1,25.0,27.133333333333336
Bucharest (Romania),2019-12-01,47.0,2019,12,335,1,49.2,51.13333333333333
Stockholm (Sweden),2019-12-01,21.5,2019,12,335,1,22.0,21.5
Ljubljana (Slovenia),2019-12-01,36.9,2019,12,335,1,27.1,29.066666666666666
Bratislava (Slovakia),2019-12-01,25.0,2019,12,335,1,22.7,24.066666666666666
Vienna (Austria),2020-01-01,30.7,2020,1,1,1,28.3,27.333333333333332
Brussels (Belgium),2020-01-01,30.4,2020,1,1,1,30.6,31.233333333333334
Sofia (Bulgaria),2020-01-01,40.4,2020,1,1,1,46.1,39.666666666666664
Bern (Switzerland),2020-01-01,35.7,2020,1,1,1,28.1,30.36666666666667
Nicosia (Cyprus),2020-01-01,33.5,2020,1,1,1,36.6,38.4
Prague (Czech Republic),2020-01-01,30.2,2020,1,1,1,28.4,29.0
Berlin (Germany),2020-01-01,33.2,2020,1,1,1,33.5,32.333333333333336
Copenhagen (Denmark),2020-01-01,19.4,2020,1,1,1,21.0,20.966666666666665
Tallinn (Estonia),2020-01-01,10.3,2020,1,1,1,10.6,11.066666666666668
Athens (Greece),2020-01-01,35.0,2020,1,1,1,31.6,32.733333333333334
Madrid (Spain),2020-01-01,45.6,2020,1,1,1,39.4,37.0
EU27 (aggregate),2020-01-01,32.1,2020,1,1,1,30.6,30.53333333333333
Helsinki (Finland),2020-01-01,16.7,2020,1,1,1,18.0,17.666666666666668
Paris (France),2020-01-01,37.4,2020,1,1,1,37.6,37.03333333333333
Zagreb (Croatia),2020-01-01,48.8,2020,1,1,1,39.4,40.56666666666666
Budapest (Hungary),2020-01-01,37.2,2020,1,1,1,31.4,33.36666666666667
Dublin (Ireland),2020-01-01,25.0,2020,1,1,1,29.8,29.566666666666666
Reykjavik (Iceland),2020-01-01,14.3,2020,1,1,1,21.5,18.833333333333332
Rome (Italy),2020-01-01,57.8,2020,1,1,1,45.6,47.9
Vilnius (Lithuania),2020-01-01,21.1,2020,1,1,1,18.4,18.066666666666666
Luxembourg (Luxembourg),2020-01-01,28.7,2020,1,1,1,29.4,29.8
Riga (Latvia),2020-01-01,22.8,2020,1,1,1,27.6,24.96666666666667
Valletta (Malta),2020-01-01,35.7,2020,1,1,1,21.3,28.900000000000006
Amsterdam (Netherlands),2020-01-01,32.1,2020,1,1,1,33.1,33.46666666666667
Oslo (Norway),2020-01-01,33.9,2020,1,1,1,36.2,32.1
Warsaw (Poland),2020-01-01,27.9,2020,1,1,1,27.5,25.966666666666665
Lisbon (Portugal),2020-01-01,31.8,2020,1,1,1,29.4,28.733333333333334
Bucharest (Romania),2020-01-01,46.1,2020,1,1,1,47.0,47.43333333333334
Stockholm (Sweden),2020-01-01,17.7,2020,1,1,1,21.5,20.400000000000002
Ljubljana (Slovenia),2020-01-01,41.9,2020,1,1,1,36.9,35.300000000000004
Bratislava (Slovakia),2020-01-01,29.2,2020,1,1,1,25.0,25.633333333333336
Vienna (Austria),2020-02-01,21.0,2020,2,32,1,30.7,26.666666666666668
Brussels (Belgium),2020-02-01,23.6,2020,2,32,1,30.4,28.2
Sofia (Bulgaria),2020-02-01,33.5,2020,2,32,1,40.4,40.0
Bern (Switzerland),2020-02-01,24.5,2020,2,32,1,35.7,29.433333333333337
Nicosia (Cyprus),2020-02-01,30.5,2020,2,32,1,33.5,33.53333333333333
Prague (Czech Republic),2020-02-01,20.3,2020,2,32,1,30.2,26.299999999999997
Berlin (Germany),2020-02-01,25.8,2020,2,32,1,33.2,30.833333333333332
Copenhagen (Denmark),2020-02-01,15.4,2020,2,32,1,19.4,18.599999999999998
Tallinn (Estonia),2020-02-01,10.4,2020,2,32,1,10.3,10.433333333333334
Athens (Greece),2020-02-01,35.2,2020,2,32,1,35.0,33.93333333333333
Madrid (Spain),2020-02-01,43.9,2020,2,32,1,45.6,42.96666666666667
EU27 (aggregate),2020-02-01,27.5,2020,2,32,1,32.1,30.066666666666666
Helsinki (Finland),2020-02-01,16.4,2020,2,32,1,16.7,17.03333333333333
Paris (France),2020-02-01,28.0,2020,2,32,1,37.4,34.333333333333336
Zagreb (Croatia),2020-02-01,39.4,2020,2,32,1,48.8,42.53333333333333
Budapest (Hungary),2020-02-01,28.8,2020,2,32,1,37.2,32.46666666666667
Dublin (Ireland),2020-02-01,20.1,2020,2,32,1,25.0,24.96666666666667
Reykjavik (Iceland),2020-02-01,14.2,2020,2,32,1,14.3,16.666666666666668
Rome (Italy),2020-02-01,45.3,2020,2,32,1,57.8,49.56666666666666
Vilnius (Lithuania),2020-02-01,21.4,2020,2,32,1,21.1,20.3
Luxembourg (Luxembourg),2020-02-01,26.8,2020,2,32,1,28.7,28.3
Riga (Latvia),2020-02-01,22.5,2020,2,32,1,22.8,24.3
Valletta (Malta),2020-02-01,37.9,2020,2,32,1,35.7,31.633333333333336
Amsterdam (Netherlands),2020-02-01,21.8,2020,2,32,1,32.1,29.000000000000004
Oslo (Norway),2020-02-01,30.9,2020,2,32,1,33.9,33.666666666666664
Warsaw (Poland),2020-02-01,26.3,2020,2,32,1,27.9,27.23333333333333
Lisbon (Portugal),2020-02-01,36.3,2020,2,32,1,31.8,32.5
Bucharest (Romania),2020-02-01,42.5,2020,2,32,1,46.1,45.199999999999996
Stockholm (Sweden),2020-02-01,20.9,2020,2,32,1,17.7,20.033333333333335
Ljubljana (Slovenia),2020-02-01,27.1,2020,2,32,1,41.9,35.300000000000004
Bratislava (Slovakia),2020-02-01,20.7,2020,2,32,1,29.2,24.966666666666665
Vienna (Austria),2020-03-01,20.7,2020,3,61,2,21.0,24.133333333333336
Brussels (Belgium),2020-03-01,23.7,2020,3,61,2,23.6,25.900000000000002
Sofia (Bulgaria),2020-03-01,24.6,2020,3,61,2,33.5,32.833333333333336
Bern (Switzerland),2020-03-01,19.3,2020,3,61,2,24.5,26.5
Nicosia (Cyprus),2020-03-01,18.9,2020,3,61,2,30.5,27.63333333333333
Prague (Czech Republic),2020-03-01,24.2,2020,3,61,2,20.3,24.900000000000002
Berlin (Germany),2020-03-01,26.5,2020,3,61,2,25.8,28.5
Copenhagen (Denmark),2020-03-01,14.9,2020,3,61,2,15.4,16.566666666666666
Tallinn (Estonia),2020-03-01,11.2,2020,3,61,2,10.4,10.633333333333335
Athens (Greece),2020-03-01,29.4,2020,3,61,2,35.2,33.199999999999996
Madrid (Spain),2020-03-01,22.0,2020,3,61,2,43.9,37.166666666666664
EU27 (aggregate),2020-03-01,22.6,2020,3,61,2,27.5,27.400000000000002
Helsinki (Finland),2020-03-01,16.0,2020,3,61,2,16.4,16.366666666666664
Paris (France),2020-03-01,26.8,2020,3,61,2,28.0,30.733333333333334
Zagreb (Croatia),2020-03-01,30.0,2020,3,61,2,39.4,39.4
Budapest (Hungary),2020-03-01,31.8,2020,3,61,2,28.8,32.6
Dublin (Ireland),2020-03-01,21.5,2020,3,61,2,20.1,22.200000000000003
Reykjavik (Iceland),2020-03-01,8.3,2020,3,61,2,14.2,12.266666666666666
Rome (Italy),2020-03-01,25.3,2020,3,61,2,45.3,42.800000000000004
Vilnius (Lithuania),2020-03-01,19.7,2020,3,61,2,21.4,20.733333333333334
Luxembourg (Luxembourg),2020-03-01,21.0,2020,3,61,2,26.8,25.5
Riga (Latvia),2020-03-01,22.6,2020,3,61,2,22.5,22.633333333333336
Valletta (Malta),2020-03-01,23.2,2020,3,61,2,37.9,32.26666666666667
Amsterdam (Netherlands),2020-03-01,20.5,2020,3,61,2,21.8,24.8
Oslo (Norway),2020-03-01,21.3,2020,3,61,2,30.9,28.7
Warsaw (Poland),2020-03-01,28.8,2020,3,61,2,26.3,27.666666666666668
Lisbon (Portugal),2020-03-01,17.4,2020,3,61,2,36.3,28.5
Bucharest (Romania),2020-03-01,35.4,2020,3,61,2,42.5,41.333333333333336
Stockholm (Sweden),2020-03-01,17.9,2020,3,61,2,20.9,18.833333333333332
Ljubljana (Slovenia),2020-03-01,15.4,2020,3,61,2,27.1,28.133333333333336
Bratislava (Slovakia),2020-03-01,20.8,2020,3,61,2,20.7,23.566666666666663
Vienna (Austria),2020-04-01,19.1,2020,4,92,2,20.7,20.266666666666666
Brussels (Belgium),2020-04-01,21.1,2020,4,92,2,23.7,22.8
Sofia (Bulgaria),2020-04-01,19.9,2020,4,92,2,24.6,26.0
Bern (Switzerland),2020-04-01,15.7,2020,4,92,2,19.3,19.833333333333332
Nicosia (Cyprus),2020-04-01,8.8,2020,4,92,2,18.9,19.399999999999995
Prague (Czech Republic),2020-04-01,23.8,2020,4,92,2,24.2,22.766666666666666
Berlin (Germany),2020-04-01,23.2,2020,4,92,2,26.5,25.166666666666668
Copenhagen (Denmark),2020-04-01,13.3,2020,4,92,2,14.9,14.533333333333333
Tallinn (Estonia),2020-04-01,7.8,2020,4,92,2,11.2,9.8
Athens (Greece),2020-04-01,20.4,2020,4,92,2,29.4,28.333333333333332
Madrid (Spain),2020-04-01,11.7,2020,4,92,2,22.0,25.866666666666664
EU27 (aggregate),2020-04-01,17.4,2020,4,92,2,22.6,22.5
Helsinki (Finland),2020-04-01,10.4,2020,4,92,2,16.0,14.266666666666666
Paris (France),2020-04-01,21.1,2020,4,92,2,26.8,25.3
Zagreb (Croatia),2020-04-01,21.8,2020,4,92,2,30.0,30.400000000000002
Budapest (Hungary),2020-04-01,26.4,2020,4,92,2,31.8,29.0
Dublin (Ireland),2020-04-01,18.2,2020,4,92,2,21.5,19.933333333333334
Reykjavik (Iceland),2020-04-01,4.7,2020,4,92,2,8.3,9.066666666666666
Rome (Italy),2020-04-01,17.9,2020,4,92,2,25.3,29.499999999999996
Vilnius (Lithuania),2020-04-01,14.0,2020,4,92,2,19.7,18.366666666666664
Luxembourg (Luxembourg),2020-04-01,18.1,2020,4,92,2,21.0,21.96666666666667
Riga (Latvia),2020-04-01,9.0,2020,4,92,2,22.6,18.033333333333335
Valletta (Malta),2020-04-01,17.5,2020,4,92,2,23.2,26.200000000000003
Amsterdam (Netherlands),2020-04-01,19.8,2020,4,92,2,20.5,20.700000000000003
Oslo (Norway),2020-04-01,19.6,2020,4,92,2,21.3,23.933333333333334
Warsaw (Poland),2020-04-01,26.5,2020,4,92,2,28.8,27.2
Lisbon (Portugal),2020-04-01,12.0,2020,4,92,2,17.4,21.899999999999995
Bucharest (Romania),2020-04-01,22.6,2020,4,92,2,35.4,33.5
Stockholm (Sweden),2020-04-01,14.5,2020,4,92,2,17.9,17.766666666666666
Ljubljana (Slovenia),2020-04-01,12.9,2020,4,92,2,15.4,18.46666666666667
Bratislava (Slovakia),2020-04-01,19.7,2020,4,92,2,20.8,20.400000000000002
Vienna (Austria),2020-05-01,15.1,2020,5,122,2,19.1,18.3
Brussels (Belgium),2020-05-01,19.5,2020,5,122,2,21.1,21.433333333333334
Sofia (Bulgaria),2020-05-01,15.1,2020,5,122,2,19.9,19.86666666666667
Bern (Switzerland),2020-05-01,13.0,2020,5,122,2,15.7,16.0
Nicosia (Cyprus),2020-05-01,13.4,2020,5,122,2,8.8,13.699999999999998
Prague (Czech Republic),2020-05-01,18.5,2020,5,122,2,23.8,22.166666666666668
Berlin (Germany),2020-05-01,20.4,2020,5,122,2,23.2,23.366666666666664
Copenhagen (Denmark),2020-05-01,12.0,2020,5,122,2,13.3,13.4
Tallinn (Estonia),2020-05-01,7.9,2020,5,122,2,7.8,8.966666666666667
Athens (Greece),2020-05-01,30.9,2020,5,122,2,20.4,26.899999999999995
Madrid (Spain),2020-05-01,12.7,2020,5,122,2,11.7,15.466666666666667
EU27 (aggregate),2020-05-01,16.9,2020,5,122,2,17.4,18.966666666666665
Helsinki (Finland),2020-05-01,10.5,2020,5,122,2,10.4,12.299999999999999
Paris (France),2020-05-01,21.4,2020,5,122,2,21.1,23.099999999999998
Zagreb (Croatia),2020-05-01,21.2,2020,5,122,2,21.8,24.333333333333332
Budapest (Hungary),2020-05-01,21.5,2020,5,122,2,26.4,26.566666666666666
Dublin (Ireland),2020-05-01,14.1,2020,5,122,2,18.2,17.933333333333334
Reykjavik (Iceland),2020-05-01,4.7,2020,5,122,2,4.7,5.900000000000001
Rome (Italy),2020-05-01,19.8,2020,5,122,2,17.9,21.0
Vilnius (Lithuania),2020-05-01,15.1,2020,5,122,2,14.0,16.266666666666666
Luxembourg (Luxembourg),2020-05-01,17.0,2020,5,122,2,18.1,18.700000000000003
Riga (Latvia),2020-05-01,9.8,2020,5,122,2,9.0,13.800000000000002
Valletta (Malta),2020-05-01,16.2,2020,5,122,2,17.5,18.96666666666667
Amsterdam (Netherlands),2020-05-01,16.8,2020,5,122,2,19.8,19.033333333333335
Oslo (Norway),2020-05-01,15.6,2020,5,122,2,19.6,18.833333333333332
Warsaw (Poland),2020-05-01,23.6,2020,5,122,2,26.5,26.3
Lisbon (Portugal),2020-05-01,13.6,2020,5,122,2,12.0,14.333333333333334
Bucharest (Romania),2020-05-01,28.0,2020,5,122,2,22.6,28.666666666666668
Stockholm (Sweden),2020-05-01,15.3,2020,5,122,2,14.5,15.9
Ljubljana (Slovenia),2020-05-01,12.1,2020,5,122,2,12.9,13.466666666666667
Bratislava (Slovakia),2020-05-01,14.9,2020,5,122,2,19.7,18.466666666666665
Vienna (Austria),2020-06-01,14.0,2020,6,153,3,15.1,16.066666666666666
Brussels (Belgium),2020-06-01,18.9,2020,6,153,3,19.5,19.833333333333332
Sofia (Bulgaria),2020-06-01,16.9,2020,6,153,3,15.1,17.3
Bern (Switzerland),2020-06-01,12.6,2020,6,153,3,13.0,13.766666666666666
Nicosia (Cyprus),2020-06-01,14.8,2020,6,153,3,13.4,12.33333333333333
Prague (Czech Republic),2020-06-01,18.0,2020,6,153,3,18.5,20.099999999999998
Berlin (Germany),2020-06-01,19.4,2020,6,153,3,20.4,21.0
Copenhagen (Denmark),2020-06-01,14.4,2020,6,153,3,12.0,13.233333333333334
Tallinn (Estonia),2020-06-01,11.7,2020,6,153,3,7.9,9.133333333333333
Athens (Greece),2020-06-01,27.6,2020,6,153,3,30.9,26.3
Madrid (Spain),2020-06-01,15.4,2020,6,153,3,12.7,13.266666666666666
EU27 (aggregate),2020-06-01,17.6,2020,6,153,3,16.9,17.3
Helsinki (Finland),2020-06-01,13.7,2020,6,153,3,10.5,11.533333333333333
Paris (France),2020-06-01,23.5,2020,6,153,3,21.4,22.0
Zagreb (Croatia),2020-06-01,21.0,2020,6,153,3,21.2,21.333333333333332
Budapest (Hungary),2020-06-01,20.7,2020,6,153,3,21.5,22.866666666666664
Dublin (Ireland),2020-06-01,14.7,2020,6,153,3,14.1,15.666666666666664
Reykjavik (Iceland),2020-06-01,5.4,2020,6,153,3,4.7,4.933333333333334
Rome (Italy),2020-06-01,23.3,2020,6,153,3,19.8,20.333333333333332
Vilnius (Lithuania),2020-06-01,13.1,2020,6,153,3,15.1,14.066666666666668
Luxembourg (Luxembourg),2020-06-01,18.1,2020,6,153,3,17.0,17.733333333333334
Riga (Latvia),2020-06-01,15.3,2020,6,153,3,9.8,11.366666666666667
Valletta (Malta),2020-06-01,17.6,2020,6,153,3,16.2,17.1
Amsterdam (Netherlands),2020-06-01,18.6,2020,6,153,3,16.8,18.400000000000006
Oslo (Norway),2020-06-01,16.4,2020,6,153,3,15.6,17.2
Warsaw (Poland),2020-06-01,21.5,2020,6,153,3,23.6,23.866666666666664
Lisbon (Portugal),2020-06-01,11.0,2020,6,153,3,13.6,12.200000000000001
Bucharest (Romania),2020-06-01,29.7,2020,6,153,3,28.0,26.766666666666666
Stockholm (Sweden),2020-06-01,16.4,2020,6,153,3,15.3,15.4
Ljubljana (Slovenia),2020-06-01,11.9,2020,6,153,3,12.1,12.300000000000002
Bratislava (Slovakia),2020-06-01,15.2,2020,6,153,3,14.9,16.599999999999998
Vienna (Austria),2020-07-01,16.0,2020,7,183,3,14.0,15.033333333333333
Brussels (Belgium),2020-07-01,15.9,2020,7,183,3,18.9,18.1
Sofia (Bulgaria),2020-07-01,17.4,2020,7,183,3,16.9,16.46666666666667
Bern (Switzerland),2020-07-01,12.2,2020,7,183,3,12.6,12.6
Nicosia (Cyprus),2020-07-01,16.9,2020,7,183,3,14.8,15.033333333333331
Prague (Czech Republic),2020-07-01,15.2,2020,7,183,3,18.0,17.233333333333334
Berlin (Germany),2020-07-01,21.8,2020,7,183,3,19.4,20.53333333333333
Copenhagen (Denmark),2020-07-01,10.2,2020,7,183,3,14.4,12.200000000000001
Tallinn (Estonia),2020-07-01,7.1,2020,7,183,3,11.7,8.899999999999999
Athens (Greece),2020-07-01,26.9,2020,7,183,3,27.6,28.46666666666667
Madrid (Spain),2020-07-01,19.4,2020,7,183,3,15.4,15.833333333333334
EU27 (aggregate),2020-07-01,17.9,2020,7,183,3,17.6,17.466666666666665
Helsinki (Finland),2020-07-01,11.0,2020,7,183,3,13.7,11.733333333333334
Paris (France),2020-07-01,19.8,2020,7,183,3,23.5,21.566666666666663
Zagreb (Croatia),2020-07-01,21.3,2020,7,183,3,21.0,21.166666666666668
Budapest (Hungary),2020-07-01,25.4,2020,7,183,3,20.7,22.53333333333333
Dublin (Ireland),2020-07-01,11.4,2020,7,183,3,14.7,13.4
Reykjavik (Iceland),2020-07-01,4.5,2020,7,183,3,5.4,4.866666666666667
Rome (Italy),2020-07-01,25.8,2020,7,183,3,23.3,22.96666666666667
Vilnius (Lithuania),2020-07-01,15.6,2020,7,183,3,13.1,14.6
Luxembourg (Luxembourg),2020-07-01,18.1,2020,7,183,3,18.1,17.733333333333334
Riga (Latvia),2020-07-01,14.7,2020,7,183,3,15.3,13.266666666666666
Valletta (Malta),2020-07-01,18.0,2020,7,183,3,17.6,17.26666666666667
Amsterdam (Netherlands),2020-07-01,16.7,2020,7,183,3,18.6,17.36666666666667
Oslo (Norway),2020-07-01,13.0,2020,7,183,3,16.4,15.0
Warsaw (Poland),2020-07-01,24.5,2020,7,183,3,21.5,23.2
Lisbon (Portugal),2020-07-01,17.6,2020,7,183,3,11.0,14.066666666666668
Bucharest (Romania),2020-07-01,36.0,2020,7,183,3,29.7,31.23333333333333
Stockholm (Sweden),2020-07-01,11.1,2020,7,183,3,16.4,14.266666666666666
Ljubljana (Slovenia),2020-07-01,11.9,2020,7,183,3,11.9,11.966666666666667
Bratislava (Slovakia),2020-07-01,17.3,2020,7,183,3,15.2,15.800000000000002
Vienna (Austria),2020-08-01,16.9,2020,8,214,3,16.0,15.633333333333333
Brussels (Belgium),2020-08-01,19.6,2020,8,214,3,15.9,18.133333333333333
Sofia (Bulgaria),2020-08-01,20.6,2020,8,214,3,17.4,18.3
Bern (Switzerland),2020-08-01,13.6,2020,8,214,3,12.2,12.799999999999999
Nicosia (Cyprus),2020-08-01,15.0,2020,8,214,3,16.9,15.566666666666663
Prague (Czech Republic),2020-08-01,19.9,2020,8,214,3,15.2,17.7
Berlin (Germany),2020-08-01,25.5,2020,8,214,3,21.8,22.233333333333334
Copenhagen (Denmark),2020-08-01,19.1,2020,8,214,3,10.2,14.566666666666668
Tallinn (Estonia),2020-08-01,8.6,2020,8,214,3,7.1,9.133333333333333
Athens (Greece),2020-08-01,26.0,2020,8,214,3,26.9,26.833333333333332
Madrid (Spain),2020-08-01,21.5,2020,8,214,3,19.4,18.766666666666666
EU27 (aggregate),2020-08-01,19.5,2020,8,214,3,17.9,18.333333333333332
Helsinki (Finland),2020-08-01,14.1,2020,8,214,3,11.0,12.933333333333332
Paris (France),2020-08-01,24.6,2020,8,214,3,19.8,22.633333333333336
Zagreb (Croatia),2020-08-01,20.5,2020,8,214,3,21.3,20.933333333333334
Budapest (Hungary),2020-08-01,24.0,2020,8,214,3,25.4,23.366666666666664
Dublin (Ireland),2020-08-01,13.8,2020,8,214,3,11.4,13.299999999999999
Reykjavik (Iceland),2020-08-01,5.1,2020,8,214,3,4.5,5.0
Rome (Italy),2020-08-01,21.6,2020,8,214,3,25.8,23.566666666666666
Vilnius (Lithuania),2020-08-01,17.2,2020,8,214,3,15.6,15.299999999999999
Luxembourg (Luxembourg),2020-08-01,18.0,2020,8,214,3,18.1,18.066666666666666
Riga (Latvia),2020-08-01,23.2,2020,8,214,3,14.7,17.733333333333334
Valletta (Malta),2020-08-01,16.0,2020,8,214,3,18.0,17.200000000000003
Amsterdam (Netherlands),2020-08-01,20.6,2020,8,214,3,16.7,18.633333333333336
Oslo (Norway),2020-08-01,17.7,2020,8,214,3,13.0,15.699999999999998
Warsaw (Poland),2020-08-01,25.0,2020,8,214,3,24.5,23.666666666666668
Lisbon (Portugal),2020-08-01,11.5,2020,8,214,3,17.6,13.366666666666667
Bucharest (Romania),2020-08-01,37.1,2020,8,214,3,36.0,34.266666666666666
Stockholm (Sweden),2020-08-01,15.6,2020,8,214,3,11.1,14.366666666666665
Ljubljana (Slovenia),2020-08-01,12.8,2020,8,214,3,11.9,12.200000000000001
Bratislava (Slovakia),2020-08-01,18.7,2020,8,214,3,17.3,17.066666666666666
Vienna (Austria),2020-09-01,20.8,2020,9,245,4,16.9,17.900000000000002
Brussels (Belgium),2020-09-01,27.1,2020,9,245,4,19.6,20.866666666666667
Sofia (Bulgaria),2020-09-01,24.5,2020,9,245,4,20.6,20.833333333333336
Bern (Switzerland),2020-09-01,16.8,2020,9,245,4,13.6,14.199999999999998
Nicosia (Cyprus),2020-09-01,22.8,2020,9,245,4,15.0,18.23333333333333
Prague (Czech Republic),2020-09-01,25.0,2020,9,245,4,19.9,20.03333333333333
Berlin (Germany),2020-09-01,31.6,2020,9,245,4,25.5,26.3
Copenhagen (Denmark),2020-09-01,18.5,2020,9,245,4,19.1,15.933333333333335
Tallinn (Estonia),2020-09-01,8.2,2020,9,245,4,8.6,7.966666666666666
Athens (Greece),2020-09-01,25.3,2020,9,245,4,26.0,26.066666666666666
Madrid (Spain),2020-09-01,27.1,2020,9,245,4,21.5,22.666666666666668
EU27 (aggregate),2020-09-01,23.8,2020,9,245,4,19.5,20.400000000000002
Helsinki (Finland),2020-09-01,13.9,2020,9,245,4,14.1,13.0
Paris (France),2020-09-01,34.8,2020,9,245,4,24.6,26.400000000000002
Zagreb (Croatia),2020-09-01,28.3,2020,9,245,4,20.5,23.366666666666664
Budapest (Hungary),2020-09-01,28.4,2020,9,245,4,24.0,25.933333333333334
Dublin (Ireland),2020-09-01,17.4,2020,9,245,4,13.8,14.200000000000001
Reykjavik (Iceland),2020-09-01,7.6,2020,9,245,4,5.1,5.733333333333333
Rome (Italy),2020-09-01,32.2,2020,9,245,4,21.6,26.533333333333335
Vilnius (Lithuania),2020-09-01,18.3,2020,9,245,4,17.2,17.03333333333333
Luxembourg (Luxembourg),2020-09-01,28.1,2020,9,245,4,18.0,21.400000000000002
Riga (Latvia),2020-09-01,16.8,2020,9,245,4,23.2,18.233333333333334
Valletta (Malta),2020-09-01,17.4,2020,9,245,4,16.0,17.133333333333336
Amsterdam (Netherlands),2020-09-01,26.1,2020,9,245,4,20.6,21.133333333333336
Oslo (Norway),2020-09-01,18.4,2020,9,245,4,17.7,16.366666666666664
Warsaw (Poland),2020-09-01,29.0,2020,9,245,4,25.0,26.166666666666668
Lisbon (Portugal),2020-09-01,23.1,2020,9,245,4,11.5,17.400000000000002
Bucharest (Romania),2020-09-01,43.0,2020,9,245,4,37.1,38.699999999999996
Stockholm (Sweden),2020-09-01,16.0,2020,9,245,4,15.6,14.233333333333334
Ljubljana (Slovenia),2020-09-01,18.0,2020,9,245,4,12.8,14.233333333333334
Bratislava (Slovakia),2020-09-01,21.3,2020,9,245,4,18.7,19.099999999999998
Vienna (Austria),2020-10-01,19.8,2020,10,275,4,20.8,19.166666666666668
Brussels (Belgium),2020-10-01,20.1,2020,10,275,4,27.1,22.26666666666667
Sofia (Bulgaria),2020-10-01,31.4,2020,10,275,4,24.5,25.5
Bern (Switzerland),2020-10-01,19.3,2020,10,275,4,16.8,16.566666666666666
Nicosia (Cyprus),2020-10-01,25.3,2020,10,275,4,22.8,21.03333333333333
Prague (Czech Republic),2020-10-01,21.3,2020,10,275,4,25.0,22.066666666666666
Berlin (Germany),2020-10-01,25.0,2020,10,275,4,31.6,27.36666666666667
Copenhagen (Denmark),2020-10-01,17.1,2020,10,275,4,18.5,18.233333333333334
Tallinn (Estonia),2020-10-01,11.5,2020,10,275,4,8.2,9.433333333333332
Athens (Greece),2020-10-01,31.5,2020,10,275,4,25.3,27.599999999999998
Madrid (Spain),2020-10-01,28.6,2020,10,275,4,27.1,25.733333333333334
EU27 (aggregate),2020-10-01,23.6,2020,10,275,4,23.8,22.3
Helsinki (Finland),2020-10-01,14.7,2020,10,275,4,13.9,14.233333333333333
Paris (France),2020-10-01,26.1,2020,10,275,4,34.8,28.5
Zagreb (Croatia),2020-10-01,30.2,2020,10,275,4,28.3,26.333333333333332
Budapest (Hungary),2020-10-01,28.9,2020,10,275,4,28.4,27.099999999999998
Dublin (Ireland),2020-10-01,19.1,2020,10,275,4,17.4,16.766666666666666
Reykjavik (Iceland),2020-10-01,11.1,2020,10,275,4,7.6,7.933333333333333
Rome (Italy),2020-10-01,34.1,2020,10,275,4,32.2,29.3
Vilnius (Lithuania),2020-10-01,16.8,2020,10,275,4,18.3,17.433333333333334
Luxembourg (Luxembourg),2020-10-01,22.6,2020,10,275,4,28.1,22.900000000000002
Riga (Latvia),2020-10-01,19.9,2020,10,275,4,16.8,19.966666666666665
Valletta (Malta),2020-10-01,28.3,2020,10,275,4,17.4,20.566666666666666
Amsterdam (Netherlands),2020-10-01,22.7,2020,10,275,4,26.1,23.133333333333336
Oslo (Norway),2020-10-01,24.8,2020,10,275,4,18.4,20.299999999999997
Warsaw (Poland),2020-10-01,23.9,2020,10,275,4,29.0,25.966666666666665
Lisbon (Portugal),2020-10-01,23.6,2020,10,275,4,23.1,19.400000000000002
Bucharest (Romania),2020-10-01,39.8,2020,10,275,4,43.0,39.96666666666666
Stockholm (Sweden),2020-10-01,17.0,2020,10,275,4,16.0,16.2
Ljubljana (Slovenia),2020-10-01,20.6,2020,10,275,4,18.0,17.133333333333336
Bratislava (Slovakia),2020-10-01,17.6,2020,10,275,4,21.3,19.200000000000003
Vienna (Austria),2020-11-01,23.6,2020,11,306,4,19.8,21.400000000000002
Brussels (Belgium),2020-11-01,27.4,2020,11,306,4,20.1,24.866666666666664
Sofia (Bulgaria),2020-11-01,40.3,2020,11,306,4,31.4,32.06666666666667
Bern (Switzerland),2020-11-01,23.6,2020,11,306,4,19.3,19.900000000000002
Nicosia (Cyprus),2020-11-01,38.6,2020,11,306,4,25.3,28.899999999999995
Prague (Czech Republic),2020-11-01,24.9,2020,11,306,4,21.3,23.733333333333334
Berlin (Germany),2020-11-01,26.9,2020,11,306,4,25.0,27.833333333333332
Copenhagen (Denmark),2020-11-01,17.1,2020,11,306,4,17.1,17.566666666666666
