City,month,NO2,year,month_num,dayofyear,season,NO2_prev_month,NO2_roll3
Dublin (Ireland),2018-04-01,21.4,2018,4,91,2,29.1,25.433333333333334
Reykjavik (Iceland),2018-04-01,7.8,2018,4,91,2,12.0,10.6
Rome (Italy),2018-04-01,40.8,2018,4,91,2,43.7,44.400000000000006
Vilnius (Lithuania),2018-04-01,22.4,2018,4,91,2,28.8,27.46666666666667
Luxembourg (Luxembourg),2018-04-01,37.1,2018,4,91,2,39.3,38.6
Riga (Latvia),2018-04-01,20.5,2018,4,91,2,28.7,29.633333333333336
Valletta (Malta),2018-04-01,31.8,2018,4,91,2,21.8,26.833333333333332
Amsterdam (Netherlands),2018-04-01,34.2,2018,4,91,2,35.0,34.5
Oslo (Norway),2018-04-01,34.6,2018,4,91,2,37.7,37.0
Warsaw (Poland),2018-04-01,37.1,2018,4,91,2,37.2,36.63333333333333
Lisbon (Portugal),2018-04-01,23.6,2018,4,91,2,19.8,24.03333333333333
Bucharest (Romania),2018-04-01,48.6,2018,4,91,2,59.4,51.166666666666664
Stockholm (Sweden),2018-04-01,27.2,2018,4,91,2,31.7,30.599999999999994
Ljubljana (Slovenia),2018-04-01,22.3,2018,4,91,2,32.4,30.5
Bratislava (Slovakia),2018-04-01,22.2,2018,4,91,2,29.7,27.53333333333333
Vienna (Austria),2018-05-01,22.1,2018,5,121,2,24.9,26.333333333333332
Brussels (Belgium),2018-05-01,33.0,2018,5,121,2,33.4,34.93333333333333
Sofia (Bulgaria),2018-05-01,23.5,2018,5,121,2,26.5,27.7
Bern (Switzerland),2018-05-01,17.8,2018,5,121,2,22.6,24.266666666666666
Nicosia (Cyprus),2018-05-01,17.8,2018,5,121,2,19.2,19.966666666666665
Prague (Czech Republic),2018-05-01,26.1,2018,5,121,2,30.6,30.200000000000003
Berlin (Germany),2018-05-01,25.3,2018,5,121,2,34.9,32.266666666666666
Copenhagen (Denmark),2018-05-01,28.5,2018,5,121,2,23.4,26.0
Tallinn (Estonia),2018-05-01,12.8,2018,5,121,2,12.5,13.700000000000001
Athens (Greece),2018-05-01,34.1,2018,5,121,2,44.1,37.699999999999996
Madrid (Spain),2018-05-01,28.1,2018,5,121,2,29.4,28.266666666666666
EU27 (aggregate),2018-05-01,27.3,2018,5,121,2,29.5,29.866666666666664
Helsinki (Finland),2018-05-01,24.9,2018,5,121,2,25.3,25.433333333333334
Paris (France),2018-05-01,35.8,2018,5,121,2,41.5,40.96666666666667
Budapest (Hungary),2018-05-01,26.1,2018,5,121,2,27.0,29.600000000000005
Dublin (Ireland),2018-05-01,28.2,2018,5,121,2,21.4,26.233333333333334
Reykjavik (Iceland),2018-05-01,7.0,2018,5,121,2,7.8,8.933333333333334
Rome (Italy),2018-05-01,32.5,2018,5,121,2,40.8,39.0
Vilnius (Lithuania),2018-05-01,21.0,2018,5,121,2,22.4,24.066666666666663
Luxembourg (Luxembourg),2018-05-01,28.3,2018,5,121,2,37.1,34.9
Riga (Latvia),2018-05-01,30.4,2018,5,121,2,20.5,26.53333333333333
Valletta (Malta),2018-05-01,30.9,2018,5,121,2,31.8,28.166666666666668
Amsterdam (Netherlands),2018-05-01,29.4,2018,5,121,2,34.2,32.86666666666667
Oslo (Norway),2018-05-01,30.7,2018,5,121,2,34.6,34.333333333333336
Warsaw (Poland),2018-05-01,30.4,2018,5,121,2,37.1,34.9
Lisbon (Portugal),2018-05-01,22.3,2018,5,121,2,23.6,21.900000000000002
Bucharest (Romania),2018-05-01,49.7,2018,5,121,2,48.6,52.56666666666666
Stockholm (Sweden),2018-05-01,27.8,2018,5,121,2,27.2,28.900000000000002
Ljubljana (Slovenia),2018-05-01,19.6,2018,5,121,2,22.3,24.766666666666666
Bratislava (Slovakia),2018-05-01,21.0,2018,5,121,2,22.2,24.299999999999997
Vienna (Austria),2018-06-01,18.2,2018,6,152,3,22.1,21.733333333333334
Brussels (Belgium),2018-06-01,26.0,2018,6,152,3,33.0,30.8
Sofia (Bulgaria),2018-06-01,21.1,2018,6,152,3,23.5,23.7
Bern (Switzerland),2018-06-01,15.6,2018,6,152,3,17.8,18.666666666666668
Nicosia (Cyprus),2018-06-01,12.7,2018,6,152,3,17.8,16.566666666666666
Prague (Czech Republic),2018-06-01,23.2,2018,6,152,3,26.1,26.633333333333336
Berlin (Germany),2018-06-01,26.2,2018,6,152,3,25.3,28.8
Copenhagen (Denmark),2018-06-01,20.1,2018,6,152,3,28.5,24.0
Tallinn (Estonia),2018-06-01,4.9,2018,6,152,3,12.8,10.066666666666666
Athens (Greece),2018-06-01,34.9,2018,6,152,3,34.1,37.699999999999996
Madrid (Spain),2018-06-01,25.6,2018,6,152,3,28.1,27.700000000000003
EU27 (aggregate),2018-06-01,23.9,2018,6,152,3,27.3,26.900000000000002
Helsinki (Finland),2018-06-01,16.0,2018,6,152,3,24.9,22.066666666666666
Paris (France),2018-06-01,31.1,2018,6,152,3,35.8,36.13333333333333
Zagreb (Croatia),2018-06-01,22.0,2018,6,152,3,34.4,32.766666666666666
Budapest (Hungary),2018-06-01,22.2,2018,6,152,3,26.1,25.099999999999998
Dublin (Ireland),2018-06-01,26.1,2018,6,152,3,28.2,25.233333333333334
Reykjavik (Iceland),2018-06-01,7.5,2018,6,152,3,7.0,7.433333333333334
Rome (Italy),2018-06-01,28.6,2018,6,152,3,32.5,33.96666666666667
Vilnius (Lithuania),2018-06-01,19.5,2018,6,152,3,21.0,20.966666666666665
Luxembourg (Luxembourg),2018-06-01,25.9,2018,6,152,3,28.3,30.433333333333337
Valletta (Malta),2018-06-01,32.1,2018,6,152,3,30.9,31.600000000000005
Amsterdam (Netherlands),2018-06-01,21.4,2018,6,152,3,29.4,28.333333333333332
Oslo (Norway),2018-06-01,21.9,2018,6,152,3,30.7,29.066666666666666
Warsaw (Poland),2018-06-01,35.8,2018,6,152,3,30.4,34.43333333333333
Lisbon (Portugal),2018-06-01,19.7,2018,6,152,3,22.3,21.866666666666664
Bucharest (Romania),2018-06-01,51.8,2018,6,152,3,49.7,50.03333333333333
Stockholm (Sweden),2018-06-01,19.6,2018,6,152,3,27.8,24.866666666666664
Ljubljana (Slovenia),2018-06-01,17.3,2018,6,152,3,19.6,19.733333333333334
Bratislava (Slovakia),2018-06-01,18.3,2018,6,152,3,21.0,20.5
Vienna (Austria),2018-07-01,19.0,2018,7,182,3,18.2,19.766666666666666
Brussels (Belgium),2018-07-01,28.1,2018,7,182,3,26.0,29.03333333333333
Sofia (Bulgaria),2018-07-01,17.7,2018,7,182,3,21.1,20.766666666666666
Bern (Switzerland),2018-07-01,17.7,2018,7,182,3,15.6,17.033333333333335
Nicosia (Cyprus),2018-07-01,13.9,2018,7,182,3,12.7,14.799999999999999
Prague (Czech Republic),2018-07-01,25.2,2018,7,182,3,23.2,24.833333333333332
Berlin (Germany),2018-07-01,26.2,2018,7,182,3,26.2,25.900000000000002
Copenhagen (Denmark),2018-07-01,19.1,2018,7,182,3,20.1,22.566666666666666
Tallinn (Estonia),2018-07-01,10.9,2018,7,182,3,4.9,9.533333333333333
Athens (Greece),2018-07-01,38.0,2018,7,182,3,34.9,35.666666666666664
Madrid (Spain),2018-07-01,26.1,2018,7,182,3,25.6,26.599999999999998
EU27 (aggregate),2018-07-01,24.0,2018,7,182,3,23.9,25.066666666666666
Helsinki (Finland),2018-07-01,17.1,2018,7,182,3,16.0,19.333333333333332
Paris (France),2018-07-01,36.5,2018,7,182,3,31.1,34.46666666666667
Zagreb (Croatia),2018-07-01,24.8,2018,7,182,3,22.0,27.066666666666666
Budapest (Hungary),2018-07-01,22.4,2018,7,182,3,22.2,23.566666666666666
Dublin (Ireland),2018-07-01,17.0,2018,7,182,3,26.1,23.766666666666666
Reykjavik (Iceland),2018-07-01,5.8,2018,7,182,3,7.5,6.766666666666666
Rome (Italy),2018-07-01,29.1,2018,7,182,3,28.6,30.066666666666666
Vilnius (Lithuania),2018-07-01,14.6,2018,7,182,3,19.5,18.366666666666667
Luxembourg (Luxembourg),2018-07-01,32.0,2018,7,182,3,25.9,28.733333333333334
Valletta (Malta),2018-07-01,35.6,2018,7,182,3,32.1,32.86666666666667
Amsterdam (Netherlands),2018-07-01,24.0,2018,7,182,3,21.4,24.933333333333334
Oslo (Norway),2018-07-01,22.0,2018,7,182,3,21.9,24.866666666666664
Warsaw (Poland),2018-07-01,34.1,2018,7,182,3,35.8,33.43333333333333
Lisbon (Portugal),2018-07-01,15.5,2018,7,182,3,19.7,19.166666666666668
Bucharest (Romania),2018-07-01,40.4,2018,7,182,3,51.8,47.300000000000004
Stockholm (Sweden),2018-07-01,20.4,2018,7,182,3,19.6,22.599999999999998
Ljubljana (Slovenia),2018-07-01,17.0,2018,7,182,3,17.3,17.96666666666667
Bratislava (Slovakia),2018-07-01,18.8,2018,7,182,3,18.3,19.366666666666664
Vienna (Austria),2018-08-01,22.4,2018,8,213,3,19.0,19.866666666666664
Brussels (Belgium),2018-08-01,22.9,2018,8,213,3,28.1,25.666666666666668
Sofia (Bulgaria),2018-08-01,19.7,2018,8,213,3,17.7,19.5
Bern (Switzerland),2018-08-01,17.4,2018,8,213,3,17.7,16.9
Nicosia (Cyprus),2018-08-01,12.3,2018,8,213,3,13.9,12.966666666666667
Prague (Czech Republic),2018-08-01,29.0,2018,8,213,3,25.2,25.8
Berlin (Germany),2018-08-01,31.4,2018,8,213,3,26.2,27.933333333333334
Copenhagen (Denmark),2018-08-01,21.1,2018,8,213,3,19.1,20.1
Tallinn (Estonia),2018-08-01,6.7,2018,8,213,3,10.9,7.5
Athens (Greece),2018-08-01,27.9,2018,8,213,3,38.0,33.6
Madrid (Spain),2018-08-01,27.6,2018,8,213,3,26.1,26.433333333333337
EU27 (aggregate),2018-08-01,25.2,2018,8,213,3,24.0,24.366666666666664
Helsinki (Finland),2018-08-01,20.7,2018,8,213,3,17.1,17.933333333333334
Paris (France),2018-08-01,27.6,2018,8,213,3,36.5,31.73333333333333
Zagreb (Croatia),2018-08-01,28.0,2018,8,213,3,24.8,24.933333333333334
Budapest (Hungary),2018-08-01,28.5,2018,8,213,3,22.4,24.366666666666664
Dublin (Ireland),2018-08-01,13.2,2018,8,213,3,17.0,18.766666666666666
Reykjavik (Iceland),2018-08-01,4.8,2018,8,213,3,5.8,6.033333333333332
Rome (Italy),2018-08-01,27.0,2018,8,213,3,29.1,28.233333333333334
Vilnius (Lithuania),2018-08-01,19.9,2018,8,213,3,14.6,18.0
Luxembourg (Luxembourg),2018-08-01,35.1,2018,8,213,3,32.0,31.0
Riga (Latvia),2018-08-01,28.6,2018,8,213,3,30.4,26.5
Valletta (Malta),2018-08-01,30.3,2018,8,213,3,35.6,32.666666666666664
Amsterdam (Netherlands),2018-08-01,26.3,2018,8,213,3,24.0,23.900000000000002
Oslo (Norway),2018-08-01,24.2,2018,8,213,3,22.0,22.7
Warsaw (Poland),2018-08-01,35.9,2018,8,213,3,34.1,35.266666666666666
Lisbon (Portugal),2018-08-01,26.5,2018,8,213,3,15.5,20.566666666666666
Bucharest (Romania),2018-08-01,48.6,2018,8,213,3,40.4,46.93333333333334
Stockholm (Sweden),2018-08-01,20.5,2018,8,213,3,20.4,20.166666666666668
Ljubljana (Slovenia),2018-08-01,18.9,2018,8,213,3,17.0,17.73333333333333
Bratislava (Slovakia),2018-08-01,23.5,2018,8,213,3,18.8,20.2
Vienna (Austria),2018-09-01,26.7,2018,9,244,4,22.4,22.7
Brussels (Belgium),2018-09-01,31.6,2018,9,244,4,22.9,27.53333333333333
Sofia (Bulgaria),2018-09-01,19.7,2018,9,244,4,19.7,19.03333333333333
Bern (Switzerland),2018-09-01,21.8,2018,9,244,4,17.4,18.96666666666667
Nicosia (Cyprus),2018-09-01,20.2,2018,9,244,4,12.3,15.466666666666669
Prague (Czech Republic),2018-09-01,33.0,2018,9,244,4,29.0,29.066666666666663
Berlin (Germany),2018-09-01,36.2,2018,9,244,4,31.4,31.266666666666666
Copenhagen (Denmark),2018-09-01,20.8,2018,9,244,4,21.1,20.333333333333332
Tallinn (Estonia),2018-09-01,7.1,2018,9,244,4,6.7,8.233333333333334
Athens (Greece),2018-09-01,36.5,2018,9,244,4,27.9,34.13333333333333
Madrid (Spain),2018-09-01,36.6,2018,9,244,4,27.6,30.099999999999998
EU27 (aggregate),2018-09-01,29.4,2018,9,244,4,25.2,26.2
Helsinki (Finland),2018-09-01,18.3,2018,9,244,4,20.7,18.7
Paris (France),2018-09-01,40.7,2018,9,244,4,27.6,34.93333333333334
Zagreb (Croatia),2018-09-01,32.8,2018,9,244,4,28.0,28.53333333333333
Budapest (Hungary),2018-09-01,35.4,2018,9,244,4,28.5,28.766666666666666
Dublin (Ireland),2018-09-01,17.7,2018,9,244,4,13.2,15.966666666666667
Reykjavik (Iceland),2018-09-01,7.7,2018,9,244,4,4.8,6.099999999999999
Rome (Italy),2018-09-01,38.1,2018,9,244,4,27.0,31.400000000000002
Vilnius (Lithuania),2018-09-01,25.9,2018,9,244,4,19.9,20.133333333333333
Luxembourg (Luxembourg),2018-09-01,36.5,2018,9,244,4,35.1,34.53333333333333
Riga (Latvia),2018-09-01,18.1,2018,9,244,4,28.6,25.7
Valletta (Malta),2018-09-01,36.5,2018,9,244,4,30.3,34.13333333333333
Amsterdam (Netherlands),2018-09-01,31.4,2018,9,244,4,26.3,27.233333333333334
Oslo (Norway),2018-09-01,24.4,2018,9,244,4,24.2,23.53333333333333
Warsaw (Poland),2018-09-01,38.9,2018,9,244,4,35.9,36.300000000000004
Lisbon (Portugal),2018-09-01,30.6,2018,9,244,4,26.5,24.2
Bucharest (Romania),2018-09-01,52.5,2018,9,244,4,48.6,47.166666666666664
Stockholm (Sweden),2018-09-01,20.6,2018,9,244,4,20.5,20.5
Ljubljana (Slovenia),2018-09-01,23.9,2018,9,244,4,18.9,19.933333333333334
Bratislava (Slovakia),2018-09-01,26.7,2018,9,244,4,23.5,23.0
Vienna (Austria),2018-10-01,26.9,2018,10,274,4,26.7,25.333333333333332
Brussels (Belgium),2018-10-01,36.8,2018,10,274,4,31.6,30.433333333333334
Sofia (Bulgaria),2018-10-01,29.3,2018,10,274,4,19.7,22.899999999999995
Bern (Switzerland),2018-10-01,28.4,2018,10,274,4,21.8,22.53333333333333
Nicosia (Cyprus),2018-10-01,31.5,2018,10,274,4,20.2,21.333333333333332
Prague (Czech Republic),2018-10-01,36.1,2018,10,274,4,33.0,32.699999999999996
Berlin (Germany),2018-10-01,39.8,2018,10,274,4,36.2,35.8
Copenhagen (Denmark),2018-10-01,25.5,2018,10,274,4,20.8,22.46666666666667
Tallinn (Estonia),2018-10-01,8.4,2018,10,274,4,7.1,7.3999999999999995
Athens (Greece),2018-10-01,39.5,2018,10,274,4,36.5,34.63333333333333
Madrid (Spain),2018-10-01,38.8,2018,10,274,4,36.6,34.333333333333336
EU27 (aggregate),2018-10-01,33.8,2018,10,274,4,29.4,29.466666666666665
Helsinki (Finland),2018-10-01,21.7,2018,10,274,4,18.3,20.233333333333334
Paris (France),2018-10-01,43.4,2018,10,274,4,40.7,37.233333333333334
Zagreb (Croatia),2018-10-01,35.3,2018,10,274,4,32.8,32.03333333333333
Budapest (Hungary),2018-10-01,40.7,2018,10,274,4,35.4,34.86666666666667
Dublin (Ireland),2018-10-01,25.7,2018,10,274,4,17.7,18.866666666666664
Reykjavik (Iceland),2018-10-01,10.1,2018,10,274,4,7.7,7.533333333333334
Rome (Italy),2018-10-01,42.4,2018,10,274,4,38.1,35.833333333333336
Vilnius (Lithuania),2018-10-01,26.1,2018,10,274,4,25.9,23.96666666666667
Luxembourg (Luxembourg),2018-10-01,34.6,2018,10,274,4,36.5,35.4
Riga (Latvia),2018-10-01,25.4,2018,10,274,4,18.1,24.033333333333335
Valletta (Malta),2018-10-01,45.1,2018,10,274,4,36.5,37.300000000000004
Amsterdam (Netherlands),2018-10-01,35.2,2018,10,274,4,31.4,30.96666666666667
Oslo (Norway),2018-10-01,32.3,2018,10,274,4,24.4,26.96666666666667
Warsaw (Poland),2018-10-01,40.3,2018,10,274,4,38.9,38.36666666666667
Lisbon (Portugal),2018-10-01,34.4,2018,10,274,4,30.6,30.5
Bucharest (Romania),2018-10-01,68.0,2018,10,274,4,52.5,56.36666666666667
Stockholm (Sweden),2018-10-01,24.0,2018,10,274,4,20.6,21.700000000000003
Ljubljana (Slovenia),2018-10-01,29.9,2018,10,274,4,23.9,24.23333333333333
Bratislava (Slovakia),2018-10-01,28.0,2018,10,274,4,26.7,26.066666666666666
Vienna (Austria),2018-11-01,28.3,2018,11,305,4,26.9,27.3
Brussels (Belgium),2018-11-01,36.7,2018,11,305,4,36.8,35.03333333333334
Sofia (Bulgaria),2018-11-01,28.1,2018,11,305,4,29.3,25.7
Bern (Switzerland),2018-11-01,27.6,2018,11,305,4,28.4,25.933333333333334
Nicosia (Cyprus),2018-11-01,41.5,2018,11,305,4,31.5,31.066666666666663
Prague (Czech Republic),2018-11-01,33.5,2018,11,305,4,36.1,34.199999999999996
Berlin (Germany),2018-11-01,34.8,2018,11,305,4,39.8,36.93333333333333
Copenhagen (Denmark),2018-11-01,27.4,2018,11,305,4,25.5,24.566666666666666
Tallinn (Estonia),2018-11-01,8.5,2018,11,305,4,8.4,8.0
Athens (Greece),2018-11-01,34.9,2018,11,305,4,39.5,36.96666666666666
Madrid (Spain),2018-11-01,38.3,2018,11,305,4,38.8,37.9
EU27 (aggregate),2018-11-01,31.6,2018,11,305,4,33.8,31.599999999999998
Helsinki (Finland),2018-11-01,20.4,2018,11,305,4,21.7,20.13333333333333
Paris (France),2018-11-01,41.0,2018,11,305,4,43.4,41.699999999999996
Zagreb (Croatia),2018-11-01,21.9,2018,11,305,4,35.3,30.0
Budapest (Hungary),2018-11-01,33.7,2018,11,305,4,40.7,36.6
Dublin (Ireland),2018-11-01,25.5,2018,11,305,4,25.7,22.966666666666665
Reykjavik (Iceland),2018-11-01,17.5,2018,11,305,4,10.1,11.766666666666666
Rome (Italy),2018-11-01,45.4,2018,11,305,4,42.4,41.96666666666666
Vilnius (Lithuania),2018-11-01,18.0,2018,11,305,4,26.1,23.333333333333332
Luxembourg (Luxembourg),2018-11-01,35.9,2018,11,305,4,34.6,35.666666666666664
Riga (Latvia),2018-11-01,27.9,2018,11,305,4,25.4,23.799999999999997
Valletta (Malta),2018-11-01,46.6,2018,11,305,4,45.1,42.73333333333333
Amsterdam (Netherlands),2018-11-01,34.6,2018,11,305,4,35.2,33.73333333333334
Oslo (Norway),2018-11-01,36.4,2018,11,305,4,32.3,31.03333333333333
Warsaw (Poland),2018-11-01,29.2,2018,11,305,4,40.3,36.13333333333333
Lisbon (Portugal),2018-11-01,34.4,2018,11,305,4,34.4,33.13333333333333
Bucharest (Romania),2018-11-01,48.1,2018,11,305,4,68.0,56.199999999999996
Stockholm (Sweden),2018-11-01,25.6,2018,11,305,4,24.0,23.400000000000002
Ljubljana (Slovenia),2018-11-01,23.7,2018,11,305,4,29.9,25.833333333333332
Bratislava (Slovakia),2018-11-01,28.2,2018,11,305,4,28.0,27.633333333333336
Vienna (Austria),2018-12-01,26.9,2018,12,335,1,28.3,27.366666666666664
Brussels (Belgium),2018-12-01,35.8,2018,12,335,1,36.7,36.43333333333333
Sofia (Bulgaria),2018-12-01,35.8,2018,12,335,1,28.1,31.066666666666663
Bern (Switzerland),2018-12-01,29.7,2018,12,335,1,27.6,28.566666666666666
Nicosia (Cyprus),2018-12-01,36.1,2018,12,335,1,41.5,36.36666666666667
Prague (Czech Republic),2018-12-01,27.2,2018,12,335,1,33.5,32.266666666666666
Berlin (Germany),2018-12-01,29.7,2018,12,335,1,34.8,34.766666666666666
Copenhagen (Denmark),2018-12-01,20.8,2018,12,335,1,27.4,24.566666666666666
Tallinn (Estonia),2018-12-01,11.5,2018,12,335,1,8.5,9.466666666666667
Athens (Greece),2018-12-01,37.6,2018,12,335,1,34.9,37.333333333333336
Madrid (Spain),2018-12-01,52.4,2018,12,335,1,38.3,43.166666666666664
EU27 (aggregate),2018-12-01,32.6,2018,12,335,1,31.6,32.666666666666664
Helsinki (Finland),2018-12-01,18.1,2018,12,335,1,20.4,20.066666666666666
Paris (France),2018-12-01,38.6,2018,12,335,1,41.0,41.0
Zagreb (Croatia),2018-12-01,33.3,2018,12,335,1,21.9,30.166666666666668
Budapest (Hungary),2018-12-01,34.3,2018,12,335,1,33.7,36.233333333333334
Dublin (Ireland),2018-12-01,28.7,2018,12,335,1,25.5,26.633333333333336
Reykjavik (Iceland),2018-12-01,12.9,2018,12,335,1,17.5,13.5
Rome (Italy),2018-12-01,48.7,2018,12,335,1,45.4,45.5
Vilnius (Lithuania),2018-12-01,22.4,2018,12,335,1,18.0,22.166666666666668
Luxembourg (Luxembourg),2018-12-01,29.9,2018,12,335,1,35.9,33.46666666666667
Riga (Latvia),2018-12-01,26.6,2018,12,335,1,27.9,26.633333333333336
Valletta (Malta),2018-12-01,45.4,2018,12,335,1,46.6,45.699999999999996
Amsterdam (Netherlands),2018-12-01,33.7,2018,12,335,1,34.6,34.5
Oslo (Norway),2018-12-01,40.4,2018,12,335,1,36.4,36.36666666666667
Warsaw (Poland),2018-12-01,29.9,2018,12,335,1,29.2,33.13333333333333
Lisbon (Portugal),2018-12-01,39.1,2018,12,335,1,34.4,35.96666666666667
Bucharest (Romania),2018-12-01,47.6,2018,12,335,1,48.1,54.56666666666666
Stockholm (Sweden),2018-12-01,24.2,2018,12,335,1,25.6,24.599999999999998
